EmployeeID,TotalDays,PresentDays,AbsentDays,LateDays,AvgWorkingHours,TotalOvertimeHrs,AttendanceRate
1,261,232,29,231,7.37,0.0,88.89
2,261,236,25,234,7.72,0.0,90.42
3,261,242,19,241,7.01,0.0,92.72
4,261,235,26,234,7.19,0.0,90.04
5,261,245,16,245,8.01,0.0,93.87
6,261,237,24,236,10.8,425.67,90.8
7,261,232,29,230,6.92,0.0,88.89
8,261,243,18,243,6.73,0.0,93.1
9,261,230,31,230,7.24,0.0,88.12
10,261,234,27,234,7.08,0.0,89.66
11,261,241,20,241,8.4,0.86,92.34
12,261,241,20,240,7.07,0.0,92.34
13,261,229,32,229,9.3,74.5,87.74
14,261,235,26,234,9.4,95.81,90.04
15,261,241,20,238,6.09,0.0,92.34
16,261,237,24,236,6.71,0.0,90.8
17,261,227,34,227,6.62,0.0,86.97
18,261,246,15,246,11.01,495.52,94.25
19,261,232,29,231,6.96,0.0,88.89
20,261,231,30,229,9.29,73.52,88.51
21,261,232,29,230,7.59,0.0,88.89
22,261,233,28,233,6.01,0.0,89.27
23,261,232,29,230,8.4,0.65,88.89
24,261,242,19,240,6.81,0.0,92.72
25,261,231,30,230,7.09,0.0,88.51
26,261,241,20,241,9.36,89.85,92.34
27,261,239,22,235,10.98,472.53,91.57
28,261,236,25,231,7.6,0.0,90.42
29,261,243,18,243,10.98,480.55,93.1
30,261,230,31,229,6.83,0.0,88.12
31,261,238,23,236,10.11,264.04,91.19
32,261,242,19,239,6.71,0.0,92.72
33,261,234,27,230,10.52,355.26,89.66
34,261,243,18,242,6.18,0.0,93.1
35,261,240,21,240,6.59,0.0,91.95
36,261,232,29,231,10.27,295.16,88.89
37,261,242,19,242,9.98,237.82,92.72
38,261,230,31,230,5.98,0.0,88.12
39,261,227,34,226,6.78,0.0,86.97
40,261,239,22,239,7.69,0.0,91.57
41,261,244,17,244,7.2,0.0,93.49
42,261,235,26,235,7.59,0.0,90.04
43,261,242,19,241,6.95,0.0,92.72
44,261,240,21,239,7.01,0.0,91.95
45,261,244,17,244,7.2,0.0,93.49
46,261,240,21,239,7.17,0.0,91.95
47,261,235,26,230,7.64,0.0,90.04
48,261,237,24,236,7.83,0.0,90.8
49,261,227,34,227,6.97,0.0,86.97
50,261,228,33,228,6.91,0.0,87.36
51,261,242,19,242,10.9,458.7,92.72
52,261,237,24,237,9.13,45.56,90.8
53,261,239,22,238,6.83,0.0,91.57
54,261,236,25,236,7.32,0.0,90.42
55,261,244,17,243,8.61,4.11,93.49
56,261,237,24,236,6.78,0.0,90.8
57,261,245,16,244,10.99,486.59,93.87
58,261,227,34,227,7.69,0.0,86.97
59,261,243,18,243,9.95,230.57,93.1
60,261,239,22,236,7.91,0.0,91.57
61,261,244,17,243,10.67,408.07,93.49
62,261,239,22,238,10.5,357.59,91.57
63,261,231,30,230,10.07,247.0,88.51
64,261,243,18,241,6.61,0.0,93.1
65,261,237,24,236,7.5,0.0,90.8
66,261,247,14,245,10.73,426.63,94.64
67,261,232,29,229,6.18,0.0,88.89
68,261,227,34,226,6.61,0.0,86.97
69,261,228,33,228,6.08,0.0,87.36
70,261,246,15,246,9.97,239.05,94.25
