EmployeeID,ProjectID,RoleInProject,HoursWorked,CompletionStatus,ProjectScore
1,6,Coordinator,294.7,Delayed,9.48
1,5,Lead,189.0,Completed,8.36
2,2,Manager,149.2,In Progress,5.78
3,9,Coordinator,190.0,Completed,5.88
3,13,Coordinator,326.6,In Progress,8.44
4,8,Lead,256.6,Delayed,6.87
4,2,Coordinator,98.7,In Progress,7.85
4,3,Developer,244.8,In Progress,8.75
5,10,Lead,264.3,Delayed,5.64
6,5,Designer,198.4,Completed,7.55
6,10,Manager,142.9,Completed,9.72
7,2,Manager,78.4,In Progress,5.17
7,14,QA,252.0,Delayed,6.84
7,15,Coordinator,223.1,In Progress,7.7
8,13,Manager,117.5,In Progress,6.77
9,13,Designer,291.6,Delayed,8.0
9,12,Analyst,274.4,Delayed,7.88
10,13,Lead,386.5,In Progress,9.51
10,4,Lead,260.4,In Progress,7.82
10,9,Coordinator,335.6,In Progress,7.63
11,15,Developer,382.6,Delayed,8.76
11,6,Developer,223.1,In Progress,9.96
11,10,Analyst,56.9,Completed,7.31
12,2,Developer,289.9,Completed,9.01
12,14,Lead,265.0,In Progress,6.43
13,8,Lead,327.1,Completed,5.01
14,9,QA,271.5,Delayed,5.18
14,11,Lead,165.8,Completed,8.33
15,10,Designer,49.8,In Progress,7.12
15,4,QA,126.1,Delayed,6.09
15,5,QA,243.2,In Progress,7.03
16,3,QA,51.4,Delayed,8.75
17,12,Developer,115.1,Delayed,9.45
17,15,Analyst,186.5,Completed,8.71
18,4,Lead,237.6,In Progress,8.12
19,15,Analyst,269.1,In Progress,5.67
19,11,QA,357.4,Delayed,9.61
20,11,QA,179.3,Completed,7.05
20,2,Lead,164.4,In Progress,9.24
20,3,Lead,91.8,Delayed,8.92
21,5,Developer,262.6,Completed,9.27
21,10,Manager,154.7,Delayed,8.04
22,9,Developer,321.1,Delayed,8.87
23,2,Coordinator,271.1,Completed,9.0
23,4,Developer,289.7,In Progress,6.22
23,14,Coordinator,159.9,Completed,5.31
24,5,Developer,99.4,In Progress,5.08
24,12,Manager,308.9,Delayed,8.25
24,9,Manager,187.4,In Progress,9.01
25,4,Lead,141.1,Delayed,6.51
26,12,Lead,97.8,Delayed,8.94
26,4,QA,358.4,In Progress,9.88
26,15,Manager,46.1,In Progress,5.58
27,14,Coordinator,149.1,Completed,8.15
27,6,Manager,76.2,In Progress,9.88
28,5,Lead,391.6,Completed,7.15
28,9,Analyst,296.5,Delayed,6.51
29,2,Manager,214.0,In Progress,9.3
29,3,Designer,46.4,Completed,8.76
30,15,Analyst,278.1,Completed,9.96
30,14,Coordinator,190.0,Completed,5.85
30,5,QA,289.8,Delayed,8.99
31,11,Lead,217.8,In Progress,7.68
31,5,QA,312.8,Delayed,5.39
31,14,Designer,104.7,In Progress,8.47
32,8,Analyst,58.4,Completed,7.49
32,4,Manager,234.0,In Progress,6.33
33,8,Lead,294.7,Delayed,6.49
33,5,Developer,397.7,In Progress,7.55
34,8,Analyst,42.1,In Progress,7.37
34,6,Manager,299.2,In Progress,5.01
35,10,QA,344.8,Completed,9.95
35,13,Lead,249.1,Completed,5.1
35,12,Analyst,251.3,Completed,6.08
36,3,Lead,399.8,In Progress,7.4
36,8,Analyst,322.5,Completed,9.44
37,2,Analyst,287.3,In Progress,8.58
37,14,Lead,41.8,Completed,8.59
37,10,Coordinator,243.6,Completed,9.94
38,13,Manager,337.1,Completed,5.27
38,12,Lead,111.4,Delayed,8.12
39,11,Coordinator,73.5,In Progress,7.4
39,5,Manager,190.8,Delayed,8.64
40,3,Manager,154.8,In Progress,8.03
41,6,Designer,196.3,Delayed,8.59
41,9,Coordinator,79.8,In Progress,6.69
42,15,Lead,304.4,Completed,9.39
42,11,Lead,381.4,Completed,7.66
42,14,Designer,256.7,Completed,5.42
43,14,Analyst,152.6,Completed,9.96
43,9,Developer,379.3,Delayed,6.3
44,3,Analyst,388.4,Completed,8.8
44,13,Coordinator,72.4,Completed,9.94
45,6,Analyst,389.7,Delayed,5.48
45,1,Designer,212.5,In Progress,6.98
45,4,Lead,369.5,In Progress,9.75
46,13,Lead,279.3,Delayed,8.27
47,5,Designer,321.6,Completed,7.14
47,13,Lead,143.8,In Progress,8.39
47,15,Manager,261.2,In Progress,5.44
48,15,Analyst,266.9,Delayed,8.41
48,14,Analyst,319.2,Completed,5.9
48,10,Manager,105.5,Completed,7.45
49,1,Lead,154.7,Delayed,9.74
50,8,QA,100.0,Completed,7.14
50,12,Analyst,379.5,Delayed,6.34
50,9,Designer,271.4,Completed,5.3
51,6,Developer,363.6,Completed,8.71
51,12,Lead,71.4,Completed,8.1
51,5,Designer,350.6,Completed,8.43
52,14,Designer,218.9,In Progress,9.78
