EmployeeID,TrainingID,EnrollDate,CompletionDate,CompletionStatus,AssessmentScore
1,6,2023-10-07,2023-11-06,Completed,75.05
1,4,2023-05-08,2023-06-07,Completed,85.37
1,2,2023-10-19,,In Progress,0.0
1,9,2023-10-08,,In Progress,0.0
2,6,2023-12-10,2024-01-09,Completed,66.82
2,9,2023-06-25,,In Progress,0.0
2,8,2023-09-06,2023-10-06,Completed,74.74
2,3,2023-10-18,2023-11-17,Completed,63.53
3,10,2023-04-09,2023-05-09,Completed,85.32
3,7,2023-12-15,,Dropped,0.0
3,4,2023-09-05,2023-10-05,Completed,58.08
4,5,2023-12-11,2024-01-10,Completed,71.68
4,4,2023-07-03,2023-08-02,Completed,62.92
4,10,2023-08-07,2023-09-06,Completed,71.97
5,4,2023-03-05,2023-04-04,Completed,98.31
5,10,2023-10-19,2023-11-18,Completed,84.13
5,2,2023-06-22,,In Progress,0.0
5,8,2023-07-18,2023-08-17,Completed,61.71
6,8,2023-01-05,2023-02-04,Completed,80.31
7,4,2023-06-08,2023-07-08,Completed,93.38
7,3,2023-10-13,2023-11-12,Completed,95.57
8,6,2023-02-17,2023-03-19,Completed,80.12
8,2,2023-02-03,,In Progress,0.0
8,5,2023-03-27,2023-04-26,Completed,76.81
9,10,2023-03-10,2023-04-09,Completed,59.81
10,6,2023-01-17,2023-02-16,Completed,92.0
11,3,2023-06-09,,Dropped,0.0
11,4,2023-10-23,2023-11-22,Completed,74.99
11,9,2023-12-14,2024-01-13,Completed,57.59
11,7,2023-04-07,2023-05-07,Completed,60.72
12,8,2023-03-14,,In Progress,0.0
12,3,2023-12-20,2024-01-19,Completed,99.65
13,10,2023-07-06,,Dropped,0.0
13,1,2023-02-17,2023-03-19,Completed,91.5
13,3,2023-12-11,,Dropped,0.0
14,9,2023-01-03,2023-02-02,Completed,67.59
15,3,2023-05-16,2023-06-15,Completed,74.69
15,10,2023-10-20,2023-11-19,Completed,90.54
15,6,2023-10-20,2023-11-19,Completed,65.68
15,1,2023-08-07,2023-09-06,Completed,60.29
16,10,2023-12-19,,In Progress,0.0
17,7,2023-02-22,2023-03-24,Completed,70.01
17,2,2023-04-14,,Dropped,0.0
18,6,2023-07-19,,In Progress,0.0
19,4,2023-07-17,2023-08-16,Completed,64.72
20,5,2023-10-23,2023-11-22,Completed,57.06
21,9,2023-09-09,,Dropped,0.0
