EmployeeID,JobInvolvement,PerformanceRating,ManagerRating,LeadershipScore,CommunicationScore
1,3,3,3,1.5,3.86
2,2,4,2,2.65,1.08
3,3,3,4,4.41,4.31
4,2,3,1,1.98,2.97
5,3,3,4,2.07,4.75
6,3,3,4,4.23,2.51
7,3,4,2,2.09,2.05
8,3,4,1,1.01,4.98
9,3,4,4,2.71,3.12
10,3,3,2,1.05,4.45
11,2,3,5,4.64,4.64
12,3,3,4,3.57,3.07
13,3,3,5,3.33,2.82
14,2,3,3,1.81,3.21
15,3,3,5,3.8,4.39
16,3,3,1,3.71,4.86
17,2,3,2,1.24,2.31
18,3,3,1,4.52,3.95
19,2,3,4,3.32,2.14
20,3,3,3,4.17,3.44
21,3,3,2,2.05,4.22
22,2,4,2,1.49,4.55
23,3,3,4,3.81,2.79
24,1,3,1,4.18,2.48
25,3,3,3,2.54,2.01
26,3,3,4,1.09,1.53
27,3,4,2,4.27,2.46
28,3,3,2,1.82,4.49
29,2,3,2,2.36,2.68
30,2,3,3,3.51,2.27
31,2,3,2,1.4,3.96
32,2,3,2,1.29,1.86
33,3,3,3,1.1,2.03
34,3,3,1,4.67,4.74
35,3,3,3,2.25,1.33
36,3,3,1,3.64,2.66
37,3,3,1,4.96,3.31
38,3,3,2,3.68,1.92
39,2,3,2,3.1,2.12
40,2,3,1,3.08,1.89
41,2,3,5,2.51,2.38
42,2,3,2,3.4,4.59
43,3,3,5,4.84,2.73
44,3,3,5,4.15,2.67
45,2,4,5,2.7,2.55
46,3,3,5,2.33,4.86
47,3,4,1,4.53,1.47
48,3,4,2,1.54,4.49
49,3,4,4,4.4,2.31
50,2,3,3,2.02,4.83
51,2,3,1,3.86,2.26
52,2,3,3,4.22,1.33
53,3,4,5,2.91,3.08
54,3,3,5,1.77,1.91
55,3,3,2,4.38,4.01
56,3,3,2,2.47,3.63
57,3,4,2,2.28,3.75
58,3,3,2,3.04,1.77
59,3,4,2,2.74,3.83
60,3,3,2,3.73,2.25
61,3,4,3,1.55,4.99
62,4,3,1,2.74,3.93
63,4,3,2,4.57,3.36
64,4,3,2,1.14,4.47
65,3,3,1,2.83,3.36
66,2,3,5,3.64,3.21
67,3,3,4,4.55,1.95
68,2,3,5,3.38,3.71
69,3,3,3,4.3,2.5
70,3,3,1,1.89,1.17
71,3,3,5,2.41,4.26
72,4,4,3,4.77,1.21
73,3,3,4,4.54,3.69
74,3,3,2,3.23,1.63
75,3,3,3,2.9,2.73
76,3,4,3,2.8,4.44
77,3,3,2,1.24,1.38
78,3,3,3,4.57,3.67
79,3,3,4,4.27,3.45
80,3,4,1,2.83,4.47
81,2,3,1,2.12,1.69
82,2,3,5,2.37,4.2
83,3,3,3,1.49,2.8
84,3,3,5,3.89,2.71
85,3,3,4,3.23,2.45
86,3,3,4,1.94,2.54
87,4,3,5,3.49,3.08
88,2,4,4,4.92,1.43
89,3,3,2,1.49,2.7
90,4,3,3,2.83,3.61
91,1,4,2,2.98,2.99
92,2,4,2,1.67,1.66
93,2,3,4,3.13,2.45
94,3,3,1,3.42,2.77
95,2,3,4,1.63,3.68
96,3,3,3,1.62,4.6
97,3,4,2,4.43,3.2
98,3,3,1,2.25,3.71
99,3,3,4,3.52,1.31
100,2,3,5,3.51,4.82
101,1,4,4,4.36,2.26
102,3,3,3,3.96,2.42
103,1,3,4,4.36,1.89
