PromotionID,EmployeeID,PromotionDate,PreviousRole,NewRole,SalaryBefore,SalaryAfter,Remarks
1,4,2023-11-04,Human Resources,HR Manager,83210,93019,Performance-based promotion
2,6,2023-03-03,Research Director,VP Research,40710,50595,Performance-based promotion
3,9,2023-09-03,Laboratory Technician,Senior Lab Technician,20440,25001,Performance-based promotion
4,11,2023-02-18,Laboratory Technician,Senior Lab Technician,79910,97725,Performance-based promotion
5,12,2023-12-06,Laboratory Technician,Senior Lab Technician,33770,41816,Performance-based promotion
6,13,2023-07-22,Sales Executive,Sales Manager,55380,68082,Performance-based promotion
7,14,2023-01-27,Research Scientist,Senior Research Scientist,57620,66748,Performance-based promotion
8,19,2023-09-25,Sales Representative,Sales Executive,24380,29514,Performance-based promotion
9,20,2023-11-04,Manager,Senior Manager,68700,78507,Performance-based promotion
10,24,2023-10-24,Manufacturing Director,VP Manufacturing,89260,102990,Performance-based promotion
11,27,2023-07-24,Manager,Senior Manager,162910,197283,Performance-based promotion
12,28,2023-08-11,Research Scientist,Senior Research Scientist,27050,33321,Performance-based promotion
13,34,2023-08-15,Sales Executive,Sales Manager,54050,63932,Performance-based promotion
14,36,2023-02-17,Manager,Senior Manager,157870,191390,Performance-based promotion
15,38,2023-07-20,Research Director,VP Research,29560,33641,Performance-based promotion
16,40,2023-06-09,Laboratory Technician,Senior Lab Technician,51540,59283,Performance-based promotion
17,46,2023-04-25,Manufacturing Director,VP Manufacturing,29360,35313,Performance-based promotion
18,47,2023-05-27,Human Resources,HR Manager,21050,23849,Performance-based promotion
19,49,2023-06-04,Laboratory Technician,Senior Lab Technician,27060,32625,Performance-based promotion
20,54,2023-02-10,Sales Executive,Sales Manager,35400,40515,Performance-based promotion
21,56,2023-02-15,Research Director,VP Research,165835,184514,Performance-based promotion
22,57,2023-03-09,Sales Executive,Sales Manager,165835,184205,Performance-based promotion
23,60,2023-11-16,Research Scientist,Senior Research Scientist,47740,53734,Performance-based promotion
24,62,2023-03-04,Research Scientist,Senior Research Scientist,26620,32856,Performance-based promotion
25,68,2023-11-26,Manager,Senior Manager,97130,117054,Performance-based promotion
26,69,2023-07-23,Research Scientist,Senior Research Scientist,20620,23636,Performance-based promotion
27,77,2023-11-01,Sales Executive,Sales Manager,165835,182602,Performance-based promotion
28,85,2023-07-20,Manager,Senior Manager,81030,95495,Performance-based promotion
29,96,2023-03-26,Manufacturing Director,VP Manufacturing,54670,61305,Performance-based promotion
30,98,2023-05-15,Laboratory Technician,Senior Lab Technician,51510,63233,Performance-based promotion
31,109,2023-02-09,Research Scientist,Senior Research Scientist,28100,34222,Performance-based promotion
32,127,2023-10-07,Healthcare Representative,Senior Healthcare Rep,165835,186758,Performance-based promotion
33,129,2023-09-15,Sales Executive,Sales Manager,133410,157883,Performance-based promotion
34,133,2023-09-16,Sales Executive,Sales Manager,46170,51136,Performance-based promotion
35,137,2023-01-06,Sales Executive,Sales Manager,21870,26641,Performance-based promotion
36,141,2023-03-10,Laboratory Technician,Senior Lab Technician,20080,23888,Performance-based promotion
